dedup_id,title,candidate_topics,mental_health_signal,final_decision,one_line_reason,per_topic
D0129288,Secondhand tobacco smoke exposure and its effects among women undergoing in vitro fertilization,,no,EXCLUDE (no eligible topic),No eligible hazard topics present.,{}
D0053442,"Exploring the impact of ambient temperature on respiratory diseases admissions, length of Stay, and hospitalization costs in Lanzhou City, based on distributed ",temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Only reports respiratory disease outcomes, not mental health.""}}"
D0068566,Single homopolypeptide chains collapse into mechanically rigid conformations,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{}
D0050769,"Migration, Climate Change, and Voluntariness",drought; flood,no,EXCLUDE,drought:EXCLUDE | flood:EXCLUDE,"{""drought"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No measured mental-health outcome reported.""}, ""flood"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No direct mention of flooding as an exposure.""}}"
D0059521,Beyond Survival: Factors Driving Textbook Outcome After Simultaneous Pancreas–Kidney Transplantation—A Retrospective Analysis,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{}
D0071957,Burnout exists: Cut the fuel and use the fire hose,,no,EXCLUDE (no eligible topic),No specific hazard or mental health signal present.,{}
D0015232,The relationship between temperature and hip and wrist fracture incidence,temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Measured outcome is hip and wrist fractures, not mental health.""}}"
D0042721,Positive youth development in the context of household member contact with the criminal justice system,,yes,EXCLUDE (no eligible topic),No eligible hazard topics present.,{}
D0053083,Heat Risk Perceptions and Coping Strategies of the Unhoused,temperature,yes,INCLUDE (needs review),temperature:INCLUDE,"{""temperature"": {""decision"": ""INCLUDE"", ""review_flag"": true, ""reason"": ""Study links heat risk perceptions to mental health in unhoused individuals.""}}"
D0128454,"Evaluation of the Efficacy and Safety of SBRT Combined With CAPEOX, Bevacizumab, and PD-1 Inhibitor in RAS-Mutant, MSS-Type, and Unresectable Metastatic Colorec",,no,EXCLUDE (no eligible topic),No relevant hazard topics or mental health signals present.,{}
D0076565,Assessing quality of life in Welsh carers with and without back pain,,no,EXCLUDE (no eligible topic),No eligible hazard topics or mental health signals present.,{}
D0033841,Non-isothermal melting of ice in the gas-diffusion layer of a proton-exchange-membrane fuel cell,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{}
D0093805,The impact of poor air quality on hospital attendance of multimorbid patients,,yes,EXCLUDE (no eligible topic),No specific hazard topic is mentioned; air pollution is too generic.,{}
D0086295,Abstract #1182278: Hyperthyroidism-induced hypercalcemia: Timing of response to treatment in the acute setting,,yes,EXCLUDE (no eligible topic),No specific climate hazard mentioned; mental health signal present.,{}
D0026730,Cold flow and ignition properties of fischer-tropsch fuels,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{}
D0115271,Indicators of genetic damage in alcoholics: Reversibility after alcohol abstinence,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{}
D0050477,Disaster stressors and coping with the traumatization of deadliest hurricanes in U.S. Mainland: A follow-up study,cyclone,yes,INCLUDE,cyclone:INCLUDE,"{""cyclone"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Study links hurricane exposure to trauma symptoms.""}}"
