dedup_id,title,candidate_topics,mental_health_signal,final_decision,one_line_reason,per_topic
D0129288,Secondhand tobacco smoke exposure and its effects among women undergoing in vitro fertilization,,no,EXCLUDE (no eligible topic),No registered hazard topics are present; needs human review for relevance.,{}
D0053442,"Exploring the impact of ambient temperature on respiratory diseases admissions, length of Stay, and hospitalization costs in Lanzhou City, based on distributed ",temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Focuses on respiratory diseases, not mental health outcomes.""}}"
D0068566,Single homopolypeptide chains collapse into mechanically rigid conformations,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0050769,"Migration, Climate Change, and Voluntariness",drought; flood,no,EXCLUDE,drought:EXCLUDE | flood:EXCLUDE,"{""drought"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No direct link to drought exposure or mental health outcomes.""}, ""flood"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Focuses on climate-induced migration, not flooding effects on mental health.""}}"
D0059521,Beyond Survival: Factors Driving Textbook Outcome After Simultaneous Pancreas–Kidney Transplantation—A Retrospective Analysis,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0071957,Burnout exists: Cut the fuel and use the fire hose,,no,EXCLUDE (no eligible topic),"Abstract is empty, no specific hazard topics are mentioned.",{}
D0015232,The relationship between temperature and hip and wrist fracture incidence,temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on fractures, not mental health outcomes.""}}"
D0042721,Positive youth development in the context of household member contact with the criminal justice system,,yes,EXCLUDE (no eligible topic),No climate hazard topics are present; mental health is discussed.,{}
D0053083,Heat Risk Perceptions and Coping Strategies of the Unhoused,temperature,yes,INCLUDE,temperature:INCLUDE,"{""temperature"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Study links extreme heat to mental health in unhoused individuals.""}}"
D0128454,"Evaluation of the Efficacy and Safety of SBRT Combined With CAPEOX, Bevacizumab, and PD-1 Inhibitor in RAS-Mutant, MSS-Type, and Unresectable Metastatic Colorec",,no,EXCLUDE (no eligible topic),No specific climate hazard or mental health signal present.,{}
D0076565,Assessing quality of life in Welsh carers with and without back pain,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0033841,Non-isothermal melting of ice in the gas-diffusion layer of a proton-exchange-membrane fuel cell,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
