dedup_id,title,candidate_topics,mental_health_signal,final_decision,one_line_reason,per_topic
D0073175,Impact of cigarette smoking on symptoms and quality of life of adults with asthma managed in public primary care clinics in singapore: A questionnaire study,,yes,EXCLUDE (no eligible topic),No climate hazard topics are present; needs human review for relevance.,{}
D0107555,Efficacy and safety of bevacizumab combined with chemotherapy in the treatment of advanced colorectal cancer and the effect on its adverse reactions.,,no,EXCLUDE (no eligible topic),No climate hazard topics are present in the title or abstract.,{}
D0062096,Urea alteration in the alpha-receptor and the acetylcholine receptor of the vas deferens,,no,EXCLUDE (no eligible topic),No relevant hazard topics or mental health signals present.,{}
D0018442,(Attenuated) hallucinations join basic symptoms in a transdiagnostic network cluster analysis,,yes,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the record.,{}
D0044574,Alcohol and the risk of injury,,yes,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0056861,Working together to drive change: weaving caring for Country practices into fire risk management on Djiringanj Country,wildfire,yes,INCLUDE,wildfire:INCLUDE,"{""wildfire"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Links bushfire management to community wellbeing and cultural identity.""}}"
D0019243,Cardiogenic Shock: Lessons From Hurricanes.,,no,EXCLUDE (no eligible topic),"Abstract is missing, only title mentions hurricanes without specific hazard details.",{}
D0063031,Mental stress opposes endothelium-dependent vasodilation in young healthy individuals,,yes,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0003061,Experimental muscle pain provokes long-lasting alterations of thermal sensitivity in the referred pain area,,no,EXCLUDE (no eligible topic),No registered hazard topics are present; study focuses on thermal sensitivity in pain.,{}
D0098953,Aberrant stress-induced Hsp70 expression in immune cells in multiple sclerosis,,no,EXCLUDE (no eligible topic),No explicit climate hazard topics are present in the title or abstract.,{}
D0120058,Neurobiology and psychopharmacology of the soul?,,yes,EXCLUDE (no eligible topic),No climate hazard topics are mentioned; abstract focuses on psychopharmacology and neurobiology.,{}
D0122140,"Evaluation of Fractional Bipolar Radiofrequency, and Bipolar Radiofrequency Potentiated by Infrared, in Monotherapy or Combined, for the Treatment of Striae",,no,EXCLUDE (no eligible topic),No specific climate hazard or mental health signal present.,{}
D0018965,Linking Air Pollution Exposure to Blood-Based Metabolic Features in a Community-Based Aging Cohort with and without Dementia.,,no,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0034718,Genetic structure of fragmented southern populations of African Cape buffalo (Syncerus caffer caffer) Hirohisa Kishino,,no,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0126835,Hot Water Therapy for the Treatment of Menopause-related Hot Flashes and Other Symptoms: a Clinical Trial,temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Focuses on hot water therapy, not ambient temperature exposure.""}}"
D0100605,"A qualitative evaluation of an employee counselling service from the perspective of client, counsellor and organization",,yes,EXCLUDE (no eligible topic),"No specific climate hazard mentioned, but mental health is relevant.",{}
D0028594,Investigating the effects of sweat therapy on group dynamics and affect,,yes,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0023432,Heat Therapy as a Viable Treatment for Peripheral Artery Disease: A Mini Review,temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Focuses on heat therapy for a clinical condition, not ambient temperature.""}}"
D0113211,Wildfires and the changing landscape of air pollution-related health burden,wildfire,no,EXCLUDE,wildfire:EXCLUDE,"{""wildfire"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Focuses on respiratory outcomes, not eligible mental health outcomes.""}}"
D0028552,Evolving treatment strategies for myeloma,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0079646,Embolization in the treatment of a major retropubic hemorrhage following tension-free vaginal tape A case report and literature review,,no,EXCLUDE (no eligible topic),No climate hazard topics are present; needs human review for relevance.,{}
D0111765,On pump versus off pump coronary artery bypass surgery in patients over seventy years old with triple vessels disease and severe left ventricle dysfunction: Foc,,no,EXCLUDE (no eligible topic),No climate hazard topics are present in the title or abstract.,{}
D0096872,Ketamine to enhance methadone treatment retention in patients with opioid use disorder and co-morbid depression,,yes,EXCLUDE (no eligible topic),No climate hazard topics are present; mental health is discussed.,{}
D0042872,DSC of natural opal: insights into the incorporation of crystallisable water in the opal microstructure,,no,EXCLUDE (no eligible topic),"The record discusses opal microstructure and water content, not climate hazards.",{}
D0127526,THE ROLE OF ASTHMA TRIGGER PERCEPTIONS IN FEAR OF COVID-19,,yes,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0109931,15 years of social crisis in the largest Circumpolar region: hygienic implications.,,yes,EXCLUDE (no eligible topic),No specific climate hazard mentioned; social crisis impacts are discussed.,{}
D0033547,"An insight into the severe floods in India during 2005, 2006 & 2007",flood,no,EXCLUDE,flood:EXCLUDE,"{""flood"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Focuses on flood events without mental health outcomes.""}}"
D0101439,Refeeding after a 24-hour fasting deepens NREM sleep in a time-dependent manner,,no,EXCLUDE (no eligible topic),Body temperature is mentioned but lacks clear environmental context.,{}
D0098643,Selection for longevity confers resistance to low-temperature stress inDrosophila melanogaster,temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on fruit flies, not human mental health.""}}"
D0111177,European approach concerning the synergy between environment and knowledge based economy,,no,EXCLUDE (no eligible topic),No specific climate hazard mentioned; general environmental issues discussed.,{}
D0046013,"Mapping water storage areas in depression, using lidar data: Caxangá avenida case study",flood,no,EXCLUDE,flood:EXCLUDE,"{""flood"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on drainage and flow accumulation, not on flooding or mental health.""}}"
D0011849,First-time success with needle procedures was higher with a warm lidocaine and tetracaine patch than an eutectic mixture of lidocaine and prilocaine cream,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
