dedup_id,title,candidate_topics,mental_health_signal,final_decision,one_line_reason,per_topic
D0109517,GIS-supported study of risk assessment at Schönberger Kapf near Öschingen (Swabian Alb),,no,EXCLUDE (no eligible topic),No eligible hazard topics present.,{}
D0043115,Climate change as an involuntary exposure: A comparative risk perception study from six countries across the global development gradient,,yes,HUMAN_REVIEW (no topic),"No specific hazard mentioned, but concerns human health and well-being.",{}
D0076121,The clinical characteristics of male diabetes patients from Morin Dawa Daur nationality,,no,EXCLUDE (no eligible topic),No eligible hazard topics present.,{}
D0120906,The 24-hour sleep patterns interview: a pilot study of validity and feasibility.,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{}
D0094403,Ethnobotanical insights into the traditional and therapeutic uses of Quercus spp. in Mila (North-East of Algeria),,no,EXCLUDE (no eligible topic),No eligible hazard topics present.,{}
D0044511,Case 25-2021: A 48-year-old man with fatigue and leg swelling,,no,EXCLUDE (no eligible topic),No eligible hazard topics present.,{}
D0030078,Novel drug leads from Turkish medicinal plants with diverse pharmacological effects,,no,EXCLUDE (no eligible topic),No relevant hazard topics or mental health signals present.,{}
D0037885,This issue of Earth Sciences Research Journal,,no,EXCLUDE (no eligible topic),No specific hazard or mental health signal present.,{}
D0029146,"Antitrust and global capitalism, 1930–2004",,no,EXCLUDE (no eligible topic),No relevant hazard topics or mental health signals present.,{}
D0105329,Hardy personality as moderator variable of burnout syndrome in firefighters,,yes,EXCLUDE (no eligible topic),No specific climate hazard is mentioned in the record.,{}
D0049854,The hot and the cold in destructive leadership: Modeling the role of arousal in explaining leader antecedents and follower consequences of abusive supervision v,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{}
D0028729,"A large-mammal site in a meandering fluvial context (Fonelas P-1, Late Pliocene, Guadix Basin, Spain). Sedimentological keys for its paleoenvironmental reconstr",,no,EXCLUDE (no eligible topic),No relevant hazard topics or mental health signals present.,{}
D0100602,Bright light blocks the capacity of inescapable swim stress to supersensitize a central muscarinic mechanism,,yes,EXCLUDE (no eligible topic),No eligible hazard topics present.,{}
D0127913,A Hospital-based Intervention for Youth Injured Through Violence,,no,EXCLUDE (no eligible topic),No eligible hazard topics or mental health signals present.,{}
D0116101,Abnormal and deficient processing of β-amyloid precursor protein in familial Alzheimer's disease lymphoblastoid cells,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{}
D0099759,"Hot temperatures, hostile affect, hostile cognition, and arousal: Tests of a general model of affective aggression",temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Measured outcomes are not mental health or wellbeing.""}}"
D0049574,Integrating Solar Energy and Nature-Based Solutions for Climate-Neutral Urban Environments,,no,EXCLUDE (no eligible topic),No specific hazard topics are mentioned in the title or abstract.,{}
D0079454,Nicotine metabolite ratio predicts smoking topography: The Pennsylvania Adult Smoking Study,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{}
D0002621,Nitrate removal in a riparian wetland of the Appalachian Valley and Ridge physiographic province,,no,EXCLUDE (no eligible topic),No relevant hazard topics or mental health signals present.,{}
D0087990,IMMERSION PULMONARY EDEMA: A CASE OF NONCARDIOGENIC PULMONARY EDEMA IN A NOVICE SCUBA DIVER,,no,EXCLUDE (no eligible topic),No eligible hazard topics present.,{}
D0024964,Optimization of a Self-Aligned Titanium Suicide Process for Submicron Technology,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{}
D0121766,"A simple, fast and efficient HPLC method for accurate, sensitive and reproducible quantitating vitamin c in human plasma by applying impact protein precipitatio",,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{}
D0054318,New approach to integrating disaster resilience into public open space planning and design,flood,yes,EXCLUDE,flood:EXCLUDE,"{""flood"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No direct study of flooding or mental health outcomes.""}}"
D0003434,[Caring for the elderly with dementia: a study of ambulatory nursing practice].,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics or mental health signals present.,{}
D0107285,The use of complementary and alternative medicine by patients undergoing hemodialysis,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{}
D0039407,“Sponge City” in China—A breakthrough of planning and flood risk management in the urban context,flood,no,EXCLUDE,flood:EXCLUDE,"{""flood"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No measured mental health outcome reported.""}}"
D0068890,Double blind trial of adjunctive valacyclovir in individuals with schizophrenia who are seropositive for cytomegalovirus,,yes,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{}
D0124209,Use of the ligasure Maryland jaw in the radical prostatectomy: Our experience,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{}
D0003170,Letting the story unfold: A case study of client-centered therapy for childhood traumatic grief,,yes,EXCLUDE (no eligible topic),"No specific climate hazard mentioned, but mental health signal present.",{}
D0123070,18F-FDG-PET in Guiding Dose-painting with IMRT in oropharyngeal tumours (FiGaRO)-swallow results,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{}
D0050726,Thermoelectric Transport Properties of Double-Filling InxLa0.25Co4Sb12 Skutterudite Materials,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{}
D0098750,Laterality of body focus and digital skin temperature in patients with Raynaud's disease,,no,EXCLUDE (no eligible topic),No eligible hazard topics present; focuses on body temperature and lateralization.,{}
D0052691,"Assessment of land-use land-cover dynamics and urban heat island effect of Dehradun city, North India: a remote sensing approach",temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No measured mental-health outcome reported.""}}"
D0046981,Uncovering a new route to pain therapy,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{}
D0022577,"Assessment of extreme climate trends using temperature, rainfall, and cyclones in the West Bengal coastal region",temperature; flood; cyclone,no,EXCLUDE,temperature:EXCLUDE | flood:EXCLUDE | cyclone:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No measured mental-health outcome reported.""}, ""flood"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No measured mental health outcome reported.""}, ""cyclone"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on climate trends, not on human mental health outcomes.""}}"
D0086886,E-cigarette device and liquid characteristics and E-cigarette dependence: A pilot study of pod-based and disposable E-cigarette users,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{}
D0118087,Gastroenterological problems connected with alcoholism.,,no,EXCLUDE (no eligible topic),No relevant hazard or mental health signal present.,{}
D0128391,"The Effect of Griffonia Simplicifolia on Pain Intensity, Central and Peripheral Sensitization, Painmodulation in Healthy Volunteers - A Randomized, Double-blind",,no,EXCLUDE (no eligible topic),No relevant hazard or mental health signal present.,{}
D0029498,"Final report on the safety assessment of aloe andongensis extract, aloe andongensis leaf juice, aloe arborescens leaf extract, aloe arborescens leaf juice, aloe",,no,EXCLUDE (no eligible topic),No relevant hazard topics or mental health signals present.,{}
D0053673,How to see things in a new light,,no,EXCLUDE (no eligible topic),No eligible hazard topics or mental health signals present.,{}
D0084900,Momordica charantia fruit extract with antioxidant capacity improves the expression of tyrosine-phosphorylated proteins in epididymal fluid of chronic stress ra,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{}
D0089062,Left Ventricular Assist Device Therapy in “Cold and Dry” Patients,,no,EXCLUDE (no eligible topic),No eligible hazard topics present.,{}
D0082539,Review of the biological activity of maslinic acid,,no,EXCLUDE (no eligible topic),No relevant hazard topics or mental health signals present.,{}
D0053672,High-conductivity and long-term stability strain sensor based on silk fibroin and polyvinyl alcohol hydrogels,,no,EXCLUDE (no eligible topic),No eligible hazard topics present.,{}
D0113441,"Periglacial ramparted depressions (presumed ground ice features) in Nottinghamshire, UK",,no,EXCLUDE (no eligible topic),No relevant hazard topics or mental health signals present.,{}
D0111956,Using well test data for detailed geological and hydrodynamic models,,no,EXCLUDE (no eligible topic),No relevant hazard topics or mental health signals present.,{}
D0039001,Research advance on chemical constituents and pharmacological effects of Gentianella acuta,,yes,EXCLUDE (no eligible topic),No eligible hazard topics present.,{}
D0039462,Formation mechanism of excellent saline lacustrine source rocks in western Qaidam Basin,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{}
D0010047,Difficulties in diagnosis and treatment of severe secondary Raynaud's phenomenon in a Cameroonian woman: A case report,,no,EXCLUDE (no eligible topic),No eligible hazard topics present.,{}
D0063663,"Control of ftsZ expression, cell division, and glutamine metabolism in Luria-Bertani medium by the alarmone ppGpp in Escherichia coli",,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{}
D0052302,"The food security risks in the Yangtze River Delta of China associated with water scarcity, grain production, and grain trade",,no,EXCLUDE (no eligible topic),No specific hazard topics present; focuses on food security and water scarcity.,{}
