dedup_id,title,candidate_topics,mental_health_signal,final_decision,one_line_reason,per_topic
D0072425,The effect of smoking on health-related quality of life in lung cancer patients: a systematic review,,no,EXCLUDE (no eligible topic),No climate hazard topics are present in the title or abstract.,{}
D0030129,"A conceptual hydrologic model for a forested Carolina bay depressional wetland on the Coastal Plain of South Carolina, USA",drought,no,EXCLUDE,drought:EXCLUDE,"{""drought"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on hydrology, not mental health or drought impact.""}}"
D0110938,"Dworkin's ""living well"" and the well-being revolution",,no,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0006533,The effect of pain on stroop performance in patients with opiate dependence in sustained remission,,no,EXCLUDE (no eligible topic),No climate hazard topics are present; needs human review for relevance.,{}
D0038243,The appropriate dose of thymoglobulin induction therapy in kidney transplantation,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0029176,Numerical study of a flat plate inducer: Comparison of performance in liquid hydrogen and water,,no,EXCLUDE (no eligible topic),No explicit climate hazard topics are present in the title or abstract.,{}
D0012901,Effects of endoscopic thoracic sympathectomy on Raynaud's disease,,no,EXCLUDE (no eligible topic),No explicit climate hazard topics are present in the title or abstract.,{}
D0104807,[An open label multi-center clinical trial to evaluate the efficacy of compound pseudoephedrine [corrected] hydrochloride sustained release capsules in patients,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0070527,Does insomnia modify the effect of catastrophizing on psychophysical pain testing in patients with chronic pain?,,yes,EXCLUDE (no eligible topic),No climate hazard topics are present; needs human review for relevance.,{}
D0012784,"Prevalence of exceeding maximum daily dose of paracetamol, and seasonal variations in cold-flu season.",,no,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
D0103760,Diagnostic and therapeutic conization using loop radiothermal cautery.,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics are present in the title or abstract.,{}
D0129554,Trauma in firefighters and strategies,,yes,EXCLUDE (no eligible topic),"No specific climate hazard mentioned, but mental health is a focus.",{}
D0043796,Modeling neuropsychiatric disorders using human induced pluripotent stem cells,,no,EXCLUDE (no eligible topic),No specific climate hazard topics are mentioned in the title or abstract.,{}
